"Year","Carbon","Petroleo","Gas","Cemento","Quema_Gas_Exceso"
1994,8548.628481,9265.657084,4102.083232,588.46061,248.053732
1995,8793.982796,9363.845279,4209.967591,622.442515,244.935059
1996,9015.793678,9643.208497,4395.991935,635.312359,247.174959
1997,8967.539839,9786.860718,4412.47776,661.232452,250.793765
1998,8725.98477,9883.466872,4484.475325,658.611266,240.252432
1999,8855.187209,10112.427162,4621.802576,691.010495,232.748259
2000,9203.117603,10302.090594,4731.291034,721.927315,278.928472
2001,9255.256797,10390.668975,4773.584851,754.331663,281.128017
2002,9678.959137,10385.86418,4905.85364,796.052479,298.553835
2003,10518.463642,10679.654448,5081.468111,852.252693,299.375515
2004,10871.584335,11042.504634,5257.190057,910.566319,323.802545
2005,11543.334878,11139.399176,5380.665522,964.306101,345.09423
2006,12188.840276,11246.32155,5506.809201,1051.668722,346.860142
2007,12776.360246,11283.665343,5694.133805,1129.389392,363.985324
2008,13192.796643,11251.325081,5864.291234,1143.738362,374.074157
2009,13016.427997,10996.948677,5751.954007,1175.729621,379.401924
2010,13926.620921,11359.882721,6195.343757,1254.87809,381.650481
2011,14737.125795,11388.085507,6366.902202,1349.799508,370.279857
2012,14922.759403,11541.707139,6500.593776,1384.570572,380.351189
2013,15024.486027,11626.445964,6542.527061,1444.086043,387.535385
2014,15051.51277,11678.782147,6654.555376,1499.912273,387.901908
2015,14710.087469,11929.665762,6788.073864,1444.435868,383.533695
2016,14360.605245,12023.83328,6973.648992,1487.616801,378.385157
2017,14506.973805,12242.627935,7144.928128,1507.923185,391.992176
2018,14746.830688,12266.016285,7529.846784,1569.218392,412.115746
2019,14725.978025,12345.653374,7647.52822,1617.506786,439.253991
2020,14174.56401,11191.808551,7556.290283,1637.537532,407.583673
2021,14979.598083,11837.159116,7921.829472,1672.592372,416.525563
