"Country","Emisiones_Totales_Historicas","Promedio_Emisiones_Persona"
USA,411905.141901,16.93885754098361
China,249352.81766,1.6587083114754098
Russia,117116.519369,6.582036680327868
Germany,87226.407937,9.631083647540983
Japan,66550.490182,4.773297073770492
United Kingdom,62184.94791,9.729513303278688
India,57002.312859,0.4732562131147541
France,35524.57869,5.7713253770491795
Canada,33854.672419,9.07008218852459
Ukraine,30647.983389,4.9397935
